week_of,rank_current_week,title,artist,rank_prior_week,peak_pos,weeks_on_chart,artist_title,base_artist,expand,key
6/20/2015,6,uptown funk,Mark Ronson Featuring Bruno Mars,5,1,30,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
6/27/2015,1,see you again,Wiz Khalifa Featuring Charlie Puth,1,1,14,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
6/27/2015,6,uptown funk,Mark Ronson Featuring Bruno Mars,6,1,31,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
7/4/2015,1,see you again,Wiz Khalifa Featuring Charlie Puth,1,1,15,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
7/4/2015,6,uptown funk,Mark Ronson Featuring Bruno Mars,6,1,32,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
7/11/2015,1,see you again,Wiz Khalifa Featuring Charlie Puth,1,1,16,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
7/11/2015,8,uptown funk,Mark Ronson Featuring Bruno Mars,6,1,33,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
7/18/2015,1,see you again,Wiz Khalifa Featuring Charlie Puth,1,1,17,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
7/18/2015,12,uptown funk,Mark Ronson Featuring Bruno Mars,8,1,34,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
7/25/2015,2,see you again,Wiz Khalifa Featuring Charlie Puth,1,1,18,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
7/25/2015,13,uptown funk,Mark Ronson Featuring Bruno Mars,12,1,35,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
8/1/2015,3,see you again,Wiz Khalifa Featuring Charlie Puth,2,1,19,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
8/1/2015,15,uptown funk,Mark Ronson Featuring Bruno Mars,13,1,36,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
8/8/2015,5,see you again,Wiz Khalifa Featuring Charlie Puth,3,1,20,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
8/8/2015,17,uptown funk,Mark Ronson Featuring Bruno Mars,15,1,37,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
8/15/2015,5,see you again,Wiz Khalifa Featuring Charlie Puth,5,1,21,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
8/15/2015,17,uptown funk,Mark Ronson Featuring Bruno Mars,17,1,38,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
8/22/2015,8,see you again,Wiz Khalifa Featuring Charlie Puth,5,1,22,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
8/22/2015,16,uptown funk,Mark Ronson Featuring Bruno Mars,17,1,39,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
8/29/2015,11,see you again,Wiz Khalifa Featuring Charlie Puth,8,1,23,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
8/29/2015,17,uptown funk,Mark Ronson Featuring Bruno Mars,16,1,40,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
9/5/2015,13,see you again,Wiz Khalifa Featuring Charlie Puth,11,1,24,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
9/5/2015,18,uptown funk,Mark Ronson Featuring Bruno Mars,17,1,41,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
9/12/2015,15,see you again,Wiz Khalifa Featuring Charlie Puth,13,1,25,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
9/12/2015,19,uptown funk,Mark Ronson Featuring Bruno Mars,18,1,42,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
9/19/2015,20,see you again,Wiz Khalifa Featuring Charlie Puth,15,1,26,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
9/19/2015,25,uptown funk,Mark Ronson Featuring Bruno Mars,19,1,43,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
9/26/2015,21,see you again,Wiz Khalifa Featuring Charlie Puth,20,1,27,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
9/26/2015,27,uptown funk,Mark Ronson Featuring Bruno Mars,25,1,44,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
10/3/2015,23,see you again,Wiz Khalifa Featuring Charlie Puth,21,1,28,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
10/3/2015,27,uptown funk,Mark Ronson Featuring Bruno Mars,27,1,45,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
10/10/2015,14,uptown funk,Mark Ronson Featuring Bruno Mars,27,1,46,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
10/10/2015,23,see you again,Wiz Khalifa Featuring Charlie Puth,23,1,29,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
10/17/2015,23,see you again,Wiz Khalifa Featuring Charlie Puth,23,1,30,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
10/17/2015,27,uptown funk,Mark Ronson Featuring Bruno Mars,14,1,47,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
10/24/2015,22,see you again,Wiz Khalifa Featuring Charlie Puth,23,1,31,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
10/24/2015,25,uptown funk,Mark Ronson Featuring Bruno Mars,27,1,48,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
10/31/2015,25,see you again,Wiz Khalifa Featuring Charlie Puth,22,1,32,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
10/31/2015,27,uptown funk,Mark Ronson Featuring Bruno Mars,25,1,49,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
11/7/2015,27,see you again,Wiz Khalifa Featuring Charlie Puth,25,1,33,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
11/7/2015,30,uptown funk,Mark Ronson Featuring Bruno Mars,27,1,50,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
11/14/2015,30,see you again,Wiz Khalifa Featuring Charlie Puth,27,1,34,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
11/14/2015,34,uptown funk,Mark Ronson Featuring Bruno Mars,30,1,51,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
11/21/2015,34,see you again,Wiz Khalifa Featuring Charlie Puth,30,1,35,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
11/21/2015,37,uptown funk,Mark Ronson Featuring Bruno Mars,34,1,52,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
11/28/2015,33,see you again,Wiz Khalifa Featuring Charlie Puth,34,1,36,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
11/28/2015,36,uptown funk,Mark Ronson Featuring Bruno Mars,37,1,53,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
12/5/2015,24,uptown funk,Mark Ronson Featuring Bruno Mars,36,1,54,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
12/5/2015,41,see you again,Wiz Khalifa Featuring Charlie Puth,33,1,37,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
12/12/2015,21,uptown funk,Mark Ronson Featuring Bruno Mars,24,1,55,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
12/12/2015,36,see you again,Wiz Khalifa Featuring Charlie Puth,41,1,38,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
12/19/2015,39,see you again,Wiz Khalifa Featuring Charlie Puth,36,1,39,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
12/26/2015,41,see you again,Wiz Khalifa Featuring Charlie Puth,39,1,40,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
1/2/2016,42,see you again,Wiz Khalifa Featuring Charlie Puth,41,1,41,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
1/9/2016,41,see you again,Wiz Khalifa Featuring Charlie Puth,42,1,42,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
1/16/2016,30,see you again,Wiz Khalifa Featuring Charlie Puth,41,1,43,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
1/23/2016,36,see you again,Wiz Khalifa Featuring Charlie Puth,30,1,44,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
1/30/2016,38,see you again,Wiz Khalifa Featuring Charlie Puth,36,1,45,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
2/6/2016,37,see you again,Wiz Khalifa Featuring Charlie Puth,38,1,46,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
2/13/2016,41,see you again,Wiz Khalifa Featuring Charlie Puth,37,1,47,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
2/20/2016,45,see you again,Wiz Khalifa Featuring Charlie Puth,41,1,48,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
2/27/2016,45,see you again,Wiz Khalifa Featuring Charlie Puth,45,1,49,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
3/5/2016,22,uptown funk,Mark Ronson Featuring Bruno Mars,-,1,56,Mark Ronson Featuring Bruno Mars-Uptown Funk!,mark ronson,Bruno Mars,mark ronson_uptown funk
3/5/2016,44,see you again,Wiz Khalifa Featuring Charlie Puth,45,1,50,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
3/5/2016,81,cheap thrills,Sia Featuring Sean Paul,-,81,1,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
3/12/2016,45,see you again,Wiz Khalifa Featuring Charlie Puth,44,1,51,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
3/12/2016,97,cheap thrills,Sia Featuring Sean Paul,81,81,2,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
3/19/2016,49,see you again,Wiz Khalifa Featuring Charlie Puth,45,1,52,Wiz Khalifa Featuring Charlie Puth-See You Again,wiz khalifa,Charlie Puth,wiz khalifa_see you again
3/19/2016,91,cheap thrills,Sia Featuring Sean Paul,97,81,3,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
3/26/2016,92,cheap thrills,Sia Featuring Sean Paul,91,81,4,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
4/2/2016,87,cheap thrills,Sia Featuring Sean Paul,92,81,5,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
4/9/2016,71,cheap thrills,Sia Featuring Sean Paul,87,71,6,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
4/16/2016,39,cheap thrills,Sia Featuring Sean Paul,71,39,7,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
4/23/2016,55,cheap thrills,Sia Featuring Sean Paul,39,39,8,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
4/30/2016,47,cheap thrills,Sia Featuring Sean Paul,55,39,9,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
5/7/2016,47,cheap thrills,Sia Featuring Sean Paul,47,39,10,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
5/14/2016,54,cheap thrills,Sia Featuring Sean Paul,47,39,11,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
5/21/2016,48,cheap thrills,Sia Featuring Sean Paul,54,39,12,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
5/28/2016,1,can't stop the feeling!,Justin Timberlake,-,1,1,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
5/28/2016,38,cheap thrills,Sia Featuring Sean Paul,48,38,13,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
6/4/2016,3,can't stop the feeling!,Justin Timberlake,1,1,2,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
6/4/2016,34,cheap thrills,Sia Featuring Sean Paul,38,34,14,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
6/11/2016,3,can't stop the feeling!,Justin Timberlake,3,1,3,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
6/11/2016,24,cheap thrills,Sia Featuring Sean Paul,34,24,15,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
6/18/2016,3,can't stop the feeling!,Justin Timberlake,3,1,4,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
6/18/2016,19,cheap thrills,Sia Featuring Sean Paul,24,19,16,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
6/25/2016,3,can't stop the feeling!,Justin Timberlake,3,1,5,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
6/25/2016,13,cheap thrills,Sia Featuring Sean Paul,19,13,17,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
7/2/2016,2,can't stop the feeling!,Justin Timberlake,3,1,6,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
7/2/2016,8,cheap thrills,Sia Featuring Sean Paul,13,8,18,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
7/9/2016,2,can't stop the feeling!,Justin Timberlake,2,1,7,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
7/9/2016,6,cheap thrills,Sia Featuring Sean Paul,8,6,19,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
7/16/2016,2,can't stop the feeling!,Justin Timberlake,2,1,8,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
7/16/2016,6,cheap thrills,Sia Featuring Sean Paul,6,6,20,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
7/23/2016,2,can't stop the feeling!,Justin Timberlake,2,1,9,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
7/23/2016,5,cheap thrills,Sia Featuring Sean Paul,6,5,21,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
7/30/2016,2,can't stop the feeling!,Justin Timberlake,2,1,10,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
7/30/2016,3,cheap thrills,Sia Featuring Sean Paul,5,3,22,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
8/6/2016,1,cheap thrills,Sia Featuring Sean Paul,3,1,23,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
8/6/2016,4,can't stop the feeling!,Justin Timberlake,2,1,11,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
8/13/2016,1,cheap thrills,Sia Featuring Sean Paul,1,1,24,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
8/13/2016,5,can't stop the feeling!,Justin Timberlake,4,1,12,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
8/20/2016,1,cheap thrills,Sia Featuring Sean Paul,1,1,25,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
8/20/2016,4,can't stop the feeling!,Justin Timberlake,5,1,13,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
8/20/2016,9,closer,The Chainsmokers Featuring Halsey,-,9,1,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
8/27/2016,1,cheap thrills,Sia Featuring Sean Paul,1,1,26,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
8/27/2016,6,closer,The Chainsmokers Featuring Halsey,9,6,2,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
8/27/2016,9,can't stop the feeling!,Justin Timberlake,4,1,14,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
9/3/2016,1,closer,The Chainsmokers Featuring Halsey,6,1,3,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
9/3/2016,2,cheap thrills,Sia Featuring Sean Paul,1,1,27,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
9/3/2016,9,can't stop the feeling!,Justin Timberlake,9,1,15,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
9/10/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,4,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
9/10/2016,3,cheap thrills,Sia Featuring Sean Paul,2,1,28,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
9/10/2016,12,can't stop the feeling!,Justin Timberlake,9,1,16,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
9/17/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,5,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
9/17/2016,4,cheap thrills,Sia Featuring Sean Paul,3,1,29,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
9/17/2016,14,can't stop the feeling!,Justin Timberlake,12,1,17,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
9/24/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,6,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
9/24/2016,4,cheap thrills,Sia Featuring Sean Paul,4,1,30,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
9/24/2016,16,can't stop the feeling!,Justin Timberlake,14,1,18,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
10/1/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,7,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
10/1/2016,4,cheap thrills,Sia Featuring Sean Paul,4,1,31,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
10/1/2016,18,can't stop the feeling!,Justin Timberlake,16,1,19,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
10/8/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,8,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
10/8/2016,5,cheap thrills,Sia Featuring Sean Paul,4,1,32,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
10/8/2016,17,can't stop the feeling!,Justin Timberlake,18,1,20,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
10/15/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,9,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
10/15/2016,7,cheap thrills,Sia Featuring Sean Paul,5,1,33,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
10/15/2016,20,can't stop the feeling!,Justin Timberlake,17,1,21,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
10/22/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,10,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
10/22/2016,8,cheap thrills,Sia Featuring Sean Paul,7,1,34,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
10/22/2016,23,can't stop the feeling!,Justin Timberlake,20,1,22,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
10/29/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,11,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
10/29/2016,9,cheap thrills,Sia Featuring Sean Paul,8,1,35,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
10/29/2016,22,can't stop the feeling!,Justin Timberlake,23,1,23,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
11/5/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,12,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
11/5/2016,12,cheap thrills,Sia Featuring Sean Paul,9,1,36,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
11/5/2016,19,can't stop the feeling!,Justin Timberlake,22,1,24,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
11/12/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,13,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
11/12/2016,12,cheap thrills,Sia Featuring Sean Paul,12,1,37,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
11/12/2016,21,can't stop the feeling!,Justin Timberlake,19,1,25,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
11/19/2016,1,closer,The Chainsmokers Featuring Halsey,1,1,14,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
11/19/2016,15,cheap thrills,Sia Featuring Sean Paul,12,1,38,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
11/19/2016,22,can't stop the feeling!,Justin Timberlake,21,1,26,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
11/26/2016,2,closer,The Chainsmokers Featuring Halsey,1,1,15,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
11/26/2016,15,cheap thrills,Sia Featuring Sean Paul,15,1,39,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
11/26/2016,16,can't stop the feeling!,Justin Timberlake,22,1,27,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
12/3/2016,2,closer,The Chainsmokers Featuring Halsey,2,1,16,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
12/3/2016,18,can't stop the feeling!,Justin Timberlake,16,1,28,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
12/3/2016,19,cheap thrills,Sia Featuring Sean Paul,15,1,40,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
12/10/2016,2,closer,The Chainsmokers Featuring Halsey,2,1,17,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
12/10/2016,19,can't stop the feeling!,Justin Timberlake,18,1,29,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
12/10/2016,21,cheap thrills,Sia Featuring Sean Paul,19,1,41,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
12/17/2016,3,closer,The Chainsmokers Featuring Halsey,2,1,18,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
12/17/2016,24,cheap thrills,Sia Featuring Sean Paul,21,1,42,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
12/17/2016,25,can't stop the feeling!,Justin Timberlake,19,1,30,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
12/24/2016,3,closer,The Chainsmokers Featuring Halsey,3,1,19,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
12/24/2016,26,cheap thrills,Sia Featuring Sean Paul,24,1,43,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
12/24/2016,32,can't stop the feeling!,Justin Timberlake,25,1,31,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
12/31/2016,3,closer,The Chainsmokers Featuring Halsey,3,1,20,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
12/31/2016,39,can't stop the feeling!,Justin Timberlake,32,1,32,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
12/31/2016,41,cheap thrills,Sia Featuring Sean Paul,26,1,44,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
